"DateKey","Date","FullDate","DayOfMonth","DaySuffix","DayName","DayOfWeek","DayOfWeekInMonth","DayOfWeekInYear","DayOfQuarter","DayOfYear","WeekOfMonth","WeekOfQuarter","WeekOfYear","Month","MonthName","MonthOfQuarter","Quarter","QuarterName","Year","YearName","MonthYear","MMYYYY","FirstDayOfMonth","LastDayOfMonth","FirstDayOfQuarter","LastDayOfQuarter","FirstDayOfYear","LastDayOfYear","IsHoliday","IsWeekday","HolidayName","FiscalDayOfYear","FiscalWeekOfYear","FiscalMonth","FiscalQuarter","FiscalQuarterName","FiscalYear","FiscalYearName","FiscalMonthYear","FiscalMMYYYY","FiscalFirstDayOfMonth","FiscalLastDayOfMonth","FiscalFirstDayOfQuarter","FiscalLastDayOfQuarter","FiscalFirstDayOfYear","FiscalLastDayOfYear"
20050101,"2005-01-01 00:00:00","01/01/2005","1","1st","Saturday","7","1","1","1","1","1","1","1","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",True,False,"New Year's Day",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050102,"2005-01-02 00:00:00","01/02/2005","2","2nd","Sunday","1","1","1","1","2","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050103,"2005-01-03 00:00:00","01/03/2005","3","3rd","Monday","2","1","1","1","3","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050104,"2005-01-04 00:00:00","01/04/2005","4","4th","Tuesday","3","1","1","1","4","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050105,"2005-01-05 00:00:00","01/05/2005","5","5th","Wednesday","4","1","1","1","5","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050106,"2005-01-06 00:00:00","01/06/2005","6","6th","Thursday","5","1","1","1","6","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050107,"2005-01-07 00:00:00","01/07/2005","7","7th","Friday","6","1","1","1","7","2","1","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050108,"2005-01-08 00:00:00","01/08/2005","8","8th","Saturday","7","2","2","2","8","2","2","2","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050109,"2005-01-09 00:00:00","01/09/2005","9","9th","Sunday","1","2","2","2","9","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050110,"2005-01-10 00:00:00","01/10/2005","10","10th","Monday","2","2","2","2","10","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050111,"2005-01-11 00:00:00","01/11/2005","11","11th","Tuesday","3","2","2","2","11","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050112,"2005-01-12 00:00:00","01/12/2005","12","12th","Wednesday","4","2","2","2","12","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050113,"2005-01-13 00:00:00","01/13/2005","13","13th","Thursday","5","2","2","2","13","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050114,"2005-01-14 00:00:00","01/14/2005","14","14th","Friday","6","2","2","2","14","3","2","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050115,"2005-01-15 00:00:00","01/15/2005","15","15th","Saturday","7","3","3","3","15","3","3","3","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050116,"2005-01-16 00:00:00","01/16/2005","16","16th","Sunday","1","3","3","3","16","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050117,"2005-01-17 00:00:00","01/17/2005","17","17th","Monday","2","3","3","3","17","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
